Num;KEYWORD;SCIENCE.IMAGE;SCIENCE.MEFIMAGE;SCIENCE.IMAGE.FLUXMAP;SCIENCE.SPECTRUM;SCIENCE.CUBE.IFS;SCIENCE.VISIBILITY;SCIENCE.SRCTBL;SCIENCE.MCATALOGUE;SCIENCE.CATALOGTILE;SCIENCE.CATALOG
75;HDUCLASS;N/A;N/A;N/A;N/A;Mext;N/A;N/A;N/A;N/A;N/A
76;HDUCLASi;N/A;N/A;N/A;N/A;Mext;N/A;N/A;N/A;N/A;N/A
77;HDUDOC;N/A;N/A;N/A;N/A;Mext;N/A;N/A;N/A;N/A;N/A
78;HDUVERS;N/A;N/A;N/A;N/A;Mext;N/A;N/A;N/A;N/A;N/A
79;SCIDATA;N/A;N/A;N/A;N/A;Mextapp 42;N/A;N/A;N/A;N/A;N/A
80;ERRDATA;N/A;N/A;N/A;N/A;Mextapp 42;N/A;N/A;N/A;N/A;N/A
81;QUALDATA;N/A;N/A;N/A;N/A;Mextapp 42;N/A;N/A;N/A;N/A;N/A
82;ABMAGLIM;M;Mext;NotAlw;N/A;M;N/A;Mext;Mapp 43;Mapp 43;Mapp 43
83;PIXNOISE;N/A;N/A;N/A;N/A;M;N/A;N/A;N/A;N/A;N/A
84;MAGLIMi;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Mapp 44;Mapp 44;Mapp 44
85;ABMAGSAT;M;Mext;N/A;N/A;N/A;N/A;Mext;N/A;N/A;N/A
86;PSF_FWHM;M;Mext;N/A;N/A;N/A;N/A;Mext;N/A;N/A;N/A
87;ELLIPTIC;M 45;Mext 45;N/A;N/A;O;N/A;Mext 45;N/A;N/A;N/A
88;SNR;N/A;N/A;N/A;M;N/A;N/A;N/A;N/A;N/A;N/A
89;SPEC_RES;N/A;N/A;N/A;M;M;M;N/A;N/A;N/A;N/A
90;SKY_RES;N/A;N/A;M;N/A;M;N/A;N/A;N/A;N/A;Mapp 41
91;SKY_RERR;N/A;N/A;Mapp 46;N/A;Mapp 46;N/A;N/A;N/A;N/A;Mapp 46
92;STREHL;Mapp 47;Mapp 47;N/A;Mapp 47;Mapp 47;N/A;Mapp 47;N/A;N/A;N/A
93;ARCFILE;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved
94;CHECKSUM;M;M;M;M;M;M;M;M;M;M
95;DATASUM;M;M;M;M;M;M;M;M;M;M
96;ORIGFILE;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved
97;P3ORIG;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved
98;NDIT;Mapp 48;Mapp 48;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
99;NJITTER;Mapp 48;Mapp 48;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
100;NOFFSETS;Mapp 48;Mapp 48;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
101;NUSTEP;Mapp 48;Mapp 48;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
102;FPRAia;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Mapp 49;M;Mapp 50
103;FPDEia;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Mapp 49;M;Mapp 50
104;SKYSQDEG;N/A;N/A;N/A;N/A;N/A;N/A;N/A;M;M;Mapp 50
105;M_EPOCH;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Mapp 51;Mapp 51;Mapp 51
106;APMATCHD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Mapp 52;Mapp 52;Mapp 52
107;TXLNKi;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Mapp 53;Mapp 53 54;Mapp 53 54
108;TXRGF;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Mapp 53;N/A;Mapp 53
109;TXCTY;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Mapp 53;N/A;Mapp 53
110;NOESODAT;Mapp 55;Mapp 55;Mapp 55;Mapp 55;Mapp 55;Mapp 55;Mapp 55;Mapp 55;Mapp 55;Mapp 55
111;TFIELDS;N/A;N/A;N/A;Mext;N/A;Mext;Mext;Mext;Mext;Mext
112;TTYPEi;N/A;N/A;N/A;Mext;N/A;Mext;Mext;Mext;Mext;Mext
113;TFORMi;N/A;N/A;N/A;Mext;N/A;Mext;Mext;Mext;Mext;Mext
114;TCOMMi;N/A;N/A;N/A;Oext;N/A;Oext;Oext;Mext;Mext;Mext
115;TUNITi;N/A;N/A;N/A;Mext 57;N/A;Mextapp 56;Mextapp 56;Mext 57;Mext 57;Mext 57
116;TUTYPi;N/A;N/A;N/A;Mext 58;N/A;N/A;N/A;N/A;N/A;N/A
117;TUCDi;N/A;N/A;N/A;Mext;N/A;Oext;Oext;Mext;Mext;Mext
118;TDMINi;N/A;N/A;N/A;Mextapp 59;N/A;Oext;Oext;Oext;Oext;Oext
119;TDMAXi;N/A;N/A;N/A;Mextapp 59;N/A;Oext;Oext;Oext;Oext;Oext
120;TNULLi;N/A;N/A;N/A;N/A;N/A;Oext;Oext;Mextapp 60;Mextapp 60;Mextapp 60
121;EXTNAME;Mextapp 61;Mextapp 61;Mextapp 61;Mextapp 61;Mextapp 61;Mextapp 61;Mextapp 61;Mextapp 61;Mextapp 61;Mextapp 61
122;TZEROi;None;None;None;None;None;None;None;NotAlw;NotAlw;NotAlw
123;TSCALi;None;None;None;None;None;None;None;NotAlw;NotAlw;NotAlw
124;EXTVER;None;None;None;None;None;None;None;NotAlw;NotAlw;NotAlw
125;EXTLEVEL;None;None;None;None;None;None;None;NotAlw;NotAlw;NotAlw
